R,F,M,R_score,F_score,M_score,RFM
5,8,8,2,1,2,212
1,3,3,5,1,1,511
0,10,9,5,2,2,522
6,1,1,2,1,1,211
2,1,1,4,1,1,411
1,6,6,5,1,1,511
2,3,3,4,1,1,411
0,4,4,5,1,1,511
6,4,3,2,1,1,211
3,1,1,4,1,1,411
1,2,2,5,1,1,511
7,4,1,1,1,1,111
6,1,1,2,1,1,211
3,4,4,4,1,1,411
3,2,1,4,1,1,411
1,2,2,5,1,1,511
0,3,3,5,1,1,511
4,1,1,3,1,1,311
0,28,26,5,4,4,544
1,1,1,5,1,1,511
0,3,3,5,1,1,511
0,3,2,5,1,1,511
4,1,1,3,1,1,311
4,3,2,3,1,1,311
0,13,12,5,2,2,522
1,2,2,5,1,1,511
5,14,11,2,2,2,222
1,2,1,5,1,1,511
4,1,1,3,1,1,311
0,8,6,5,1,1,511
5,3,2,2,1,1,211
1,1,1,5,1,1,511
1,5,5,5,1,1,511
2,5,5,4,1,1,411
0,2,2,5,1,1,511
5,5,5,2,1,1,211
1,3,2,5,1,1,511
0,2,1,5,1,1,511
0,1,1,5,1,1,511
5,6,6,2,1,1,211
3,5,4,4,1,1,411
0,2,2,5,1,1,511
5,2,2,2,1,1,211
0,6,6,5,1,1,511
3,1,1,4,1,1,411
0,2,2,5,1,1,511
1,2,2,5,1,1,511
6,1,1,2,1,1,211
0,3,1,5,1,1,511
5,1,1,2,1,1,211
1,1,1,5,1,1,511
6,2,2,2,1,1,211
0,5,4,5,1,1,511
3,2,2,4,1,1,411
5,1,1,2,1,1,211
1,1,1,5,1,1,511
0,2,2,5,1,1,511
5,2,2,2,1,1,211
7,1,1,1,1,1,111
2,3,3,4,1,1,411
3,1,1,4,1,1,411
0,6,6,5,1,1,511
1,2,2,5,1,1,511
5,2,2,2,1,1,211
0,2,2,5,1,1,511
0,3,2,5,1,1,511
0,3,3,5,1,1,511
1,2,2,5,1,1,511
7,2,2,1,1,1,111
5,1,1,2,1,1,211
0,1,1,5,1,1,511
8,2,2,1,1,1,111
0,2,2,5,1,1,511
0,4,4,5,1,1,511
2,5,3,4,1,1,411
1,4,3,5,1,1,511
2,1,1,4,1,1,411
0,3,3,5,1,1,511
5,1,1,2,1,1,211
0,7,6,5,1,1,511
2,12,8,4,2,2,422
0,4,3,5,1,1,511
0,7,3,5,1,1,511
1,3,2,5,1,1,511
5,1,1,2,1,1,211
0,2,2,5,1,1,511
0,3,3,5,1,1,511
7,1,1,1,1,1,111
1,2,2,5,1,1,511
3,1,1,4,1,1,411
3,1,1,4,1,1,411
1,5,4,5,1,1,511
4,1,1,3,1,1,311
7,1,1,1,1,1,111
5,3,3,2,1,1,211
4,6,3,3,1,1,311
3,5,5,4,1,1,411
3,1,1,4,1,1,411
5,3,3,2,1,1,211
1,4,4,5,1,1,511
0,3,3,5,1,1,511
6,2,2,2,1,1,211
6,1,1,2,1,1,211
6,1,1,2,1,1,211
3,2,2,4,1,1,411
2,1,1,4,1,1,411
